ProductName,ProductSku,PurchaseValue,SpendsCatalogAds,SpendsPMaxAds,TotalCatalogSpendsFBGoogle,TotalRevenue,BlendedROASCatalogAds,GABlendedROASCatalogSpends,ProductPageViews,AddToCarts,Purchases,AddToCartRate,TransactionRate,ConversionRate,FbImpressions,FbClicks,FbCTR,FbCPC,GoogleImpressions,GoogleClicks,GoogleCTR,GoogleCPC,PurchasesPmaxAds,PurchasesValuePmaxAds,ROASPmaxAds,TotalProductCount,ActiveProductCount,ActiveVariantCount,InStockProductCount,OutOfStockProductCount,AverageSellingPrice,DiscountedProductCount,InStockVariantCount,OutofstockVariantsCount,TotalSpendEstimated,BlendedCRRCatalogAds,BlendedCRREstSpends,BlendedROASEstSpends,GABlendedROASEstSpends,GABlendedCRRCatalogSpends,GABlendedCRREstSpends,CPSCatalogSpends,CPSEstSpends,GACPSCatalogSpends,GACPSEstSpends
Men Printed Shirt,8137693593816,"3,105","1,501",12.36,"1,513","3,105",2.05,2.05,542,34,5,6.27,14.71,0.92,"22,897",484,2.11,3.10,544,5,0.92,2.47,0,0,,,,,,,,,,,"1,390",48.73,44.77,5,2.23,2.23,48.73,44.77,303,278,303,278
Men Placement Printed Shorts,8134457786584,"12,482","5,976",90.15,"6,066","11,992",1.98,2.06,"1,331",68,17,5.11,25.00,1.28,"85,132","1,289",1.51,4.64,"9,330",19,0.20,4.74,0,0,,,,,,,,,,,"3,409",50.59,28.43,22,3.52,3.66,48.60,27.31,276,155,357,201
Men Checked Shirt,8140550701272,"4,608","2,203",3.36,"2,206","6,170",2.80,2.09,915,52,6,5.68,11.54,0.66,"43,474",839,1.93,2.63,689,3,0.44,1.12,0,0,,,,,,,,,,,"2,347",35.76,38.04,9,2.63,1.96,47.88,50.94,245,261,368,391
Men Baggy Trouser,8149896626392,"5,347","2,420",128.11,"2,548","5,271",2.07,2.10,846,57,7,6.74,12.28,0.83,"50,586",813,1.61,2.98,"6,091",80,1.31,1.60,0,456,3.56,,,,,,,,,,"2,280",48.34,43.26,7,2.31,2.34,47.65,42.65,364,326,364,326
Men Striped Casual Shirt,8140556304600,559,247,16.57,264,"1,683",6.37,2.12,292,23,1,7.88,4.35,0.34,"2,088",124,5.94,2.00,946,6,0.63,2.76,0,0,,,,,,,,,,,751,15.69,44.64,3,2.24,0.74,47.24,134.42,88,250,264,751
Men Jogger Pant,8133643469016,"4,583","2,121",35.96,"2,157","5,766",2.67,2.12,853,34,7,3.99,20.59,0.82,"25,213",751,2.98,2.82,"1,246",11,0.88,3.27,1,"1,219",33.90,,,,,,,,,,"2,190",37.41,37.99,9,2.63,2.09,47.07,47.79,240,243,308,313
Men Joggers Trouser,8140549554392,"3,124","1,314",130.61,"1,444","3,085",2.14,2.16,667,26,4,3.90,15.38,0.60,"27,285",553,2.03,2.38,"12,543",27,0.22,4.84,0,0,,,,,,,,,,,"1,708",46.81,55.36,4,1.81,1.83,46.23,54.67,361,427,361,427
Men Checked Shirt,8211690520792,"2,422",515,603.51,"1,118","2,894",2.59,2.17,612,32,4,5.23,12.50,0.65,"4,186",267,6.38,1.93,"30,415",319,1.05,1.89,2,"1,950",3.23,,,,,,,,,,"1,572",38.65,54.32,5,1.84,1.54,46.18,64.90,224,314,280,393
Men Striped Shirt,8134451921112,"5,341","2,401",4.00,"2,405","6,465",2.69,2.22,827,46,9,5.56,19.57,1.09,"21,881",735,3.36,3.27,369,0,,,0,0,,,,,,,,,,,"2,136",37.20,33.05,11,3.03,2.50,45.02,40.00,219,194,267,237
Men Solid Shirt,8134450872536,"1,242",553,2.36,555,"1,211",2.18,2.24,284,8,2,2.82,25.00,0.70,"7,132",232,3.25,2.38,592,2,0.34,1.18,0,0,,,,,,,,,,,692,45.82,57.15,2,1.75,1.79,44.68,55.72,277,346,277,346
Men Printed Shirt,8136715829464,"19,065","8,152",229.41,"8,381","22,844",2.73,2.27,"3,680",278,32,7.55,11.51,0.87,"130,108","2,292",1.76,3.56,"69,287",72,0.10,3.19,0,0,,,,,,,,,,,"9,409",36.69,41.19,41,2.43,2.03,43.96,49.36,204,229,262,294
Men Jogger,8137691070680,"3,235","1,410",10.16,"1,420","3,235",2.28,2.28,567,25,5,4.41,20.00,0.88,"16,207",473,2.92,2.98,366,4,1.09,2.54,0,0,,,,,,,,,,,"1,452",43.88,44.89,5,2.23,2.23,43.88,44.89,284,290,284,290
Men Casual Shirt,8134443204824,621,269,,269,0,,2.31,111,5,1,4.50,20.00,0.90,"3,157",108,3.42,2.49,0,0,,,0,0,,,,,,,,,,,281,,,1,,2.21,43.38,45.26,269,281,269,281
Men Printed Shirt,8134451593432,"1,242",497,41.24,538,"2,301",4.28,2.31,325,23,2,7.08,8.70,0.62,"11,267",137,1.22,3.63,"7,049",14,0.20,2.95,0,0,,,,,,,,,,,811,23.38,35.26,4,2.84,1.53,43.32,65.32,134,203,269,406
Men Denim Shorts,8134406308056,"2,484","1,064",0.22,"1,064","2,453",2.31,2.33,314,14,4,4.46,28.57,1.27,"19,590",298,1.52,3.57,139,0,,,0,0,,,,,,,,,,,918,43.37,37.42,4,2.67,2.71,42.83,36.95,266,229,266,229
Men Striped Casual Shirt,8140551094488,"2,109",890,8.12,899,"2,074",2.31,2.35,618,28,3,4.53,10.71,0.49,"8,842",428,4.84,2.08,"2,526",2,0.08,4.06,0,0,,,,,,,,,,,"1,571",43.34,75.77,3,1.32,1.34,42.61,74.51,300,524,300,524
Men Basic T-Shirt,8134465913048,"4,720","1,965",36.54,"2,001","6,378",3.19,2.36,"1,010",91,8,9.01,8.79,0.79,"18,392",671,3.65,2.93,"5,067",8,0.16,4.57,0,0,,,,,,,,,,,"2,491",31.38,39.05,12,2.56,1.89,42.41,52.77,167,208,250,311
Men Striped Shirt,8134402900184,"46,041","17,912",635.02,"18,547","50,179",2.71,2.48,"5,216",405,64,7.76,15.80,1.23,"477,164","4,382",0.92,4.09,"127,938",224,0.18,2.83,6,"6,442",10.14,,,,,,,,,,"13,249",36.96,26.40,73,3.79,3.48,40.28,28.78,254,181,290,207
Men Winter Jacket,8134423544024,"1,473",0,581.21,581,"1,473",2.53,2.53,246,8,1,3.25,12.50,0.41,0,0,,,"20,150",245,1.22,2.37,2,"3,106",5.34,,,,,,,,,,637,39.46,43.22,1,2.31,2.31,39.46,43.22,581,637,581,637
Men Printed Casual Shirt,8140556009688,"2,360",890,40.30,930,"2,925",3.15,2.54,377,18,4,4.77,22.22,1.06,"9,964",307,3.08,2.90,"3,137",16,0.51,2.52,0,0,,,,,,,,,,,919,31.79,31.42,5,3.18,2.57,39.41,38.94,186,184,232,230
Men Checked Shirt,8149778104536,"4,657","1,674",139.29,"1,813","6,312",3.48,2.57,784,52,8,6.63,15.38,1.02,"13,468",559,4.15,2.99,"19,317",47,0.24,2.96,0,0,,,,,,,,,,,"2,004",28.73,31.75,11,3.15,2.32,38.94,43.03,165,182,227,250
Men Solid Shrug,8313987367128,"3,815","1,364",111.38,"1,475","3,815",2.59,2.59,461,21,5,4.56,23.81,1.08,"22,654",375,1.66,3.64,"11,325",22,0.19,5.06,0,0,,,,,,,,,,,"1,179",38.67,30.91,5,3.23,3.23,38.67,30.91,295,236,295,236
Men Checked Shirt,8136718647512,"13,227","4,885",42.99,"4,928","14,851",3.01,2.68,"1,678",113,22,6.73,19.47,1.31,"70,637","1,543",2.18,3.17,"4,665",18,0.39,2.39,0,116,2.71,,,,,,,,,,"4,210",33.18,28.35,26,3.53,3.14,37.26,31.83,190,162,224,191
Men Solid Shirt,8149861597400,"4,720","1,712",44.18,"1,757","4,633",2.64,2.69,475,32,8,6.74,25.00,1.68,"15,753",423,2.69,4.05,"3,047",20,0.66,2.21,0,0,,,,,,,,,,,"1,218",37.92,26.28,9,3.80,3.88,37.22,25.80,195,135,220,152
Men Printed T-Shirt,8332721094872,"3,827","1,399",22.68,"1,422","3,782",2.66,2.69,572,42,8,7.34,19.05,1.40,"17,935",351,1.96,3.99,"4,746",8,0.17,2.83,0,0,,,,,,,,,,,"1,471",37.59,38.88,8,2.57,2.60,37.15,38.43,178,184,178,184
Men Striped Shirt,8137695592664,"46,772","15,993",1345.85,"17,338","47,596",2.75,2.70,"4,929",441,61,8.95,13.83,1.24,"256,174","5,351",2.09,2.99,"131,260",312,0.24,4.31,6,"6,154",4.57,,,,,,,,,,"12,510",36.43,26.28,68,3.80,3.74,37.07,26.75,255,184,284,205
Men Abstract Printed Shorts,8140529041624,"21,584","7,748",247.22,"7,995","22,391",2.80,2.70,"2,268",229,39,10.10,17.03,1.72,"127,567","2,070",1.62,3.74,"21,085",86,0.41,2.87,1,845,3.42,,,,,,,,,,"5,838",35.71,26.07,41,3.84,3.70,37.04,27.05,195,142,205,150
Men Graphic Shirt,8134422855896,"7,204","2,600",52.18,"2,652","7,086",2.67,2.72,827,47,12,5.68,25.53,1.45,"31,161",690,2.21,3.77,"12,511",13,0.10,4.01,0,0,,,,,,,,,,,"2,111",37.44,29.80,12,3.36,3.41,36.82,29.31,221,176,221,176
Men Denim Kurta,8134422069464,"1,180",360,71.60,431,"1,739",4.03,2.73,246,17,2,6.91,11.76,0.81,"3,008",110,3.66,3.27,"5,211",33,0.63,2.17,0,0,,,,,,,,,,,629,24.82,36.17,3,2.76,1.88,36.57,53.31,144,210,216,314
Men Resort Shirt,8134449365208,559,203,,203,"1,149",5.66,2.76,117,6,1,5.13,16.67,0.85,"1,666",75,4.50,2.70,43,0,,,0,0,,,,,,,,,,,294,17.66,25.57,2,3.91,1.90,36.30,52.55,101,147,203,294
Mens Crochet Relaxed Fit Shirt,8410959413464,"1,484",299,232.95,532,"1,484",2.79,2.79,557,10,2,1.80,20.00,0.36,"8,519",74,0.87,4.05,"36,339",70,0.19,3.33,1,925,3.97,,,,,,,,,,"1,412",35.88,95.13,2,1.05,1.05,35.88,95.13,266,706,266,706
Men Striped Shirt,8140557353176,"3,540","1,268",0.24,"1,269","4,074",3.21,2.79,536,47,6,8.77,12.77,1.12,"16,562",366,2.21,3.47,164,0,,,0,0,,,,,,,,,,,"1,327",31.14,32.58,7,3.07,2.67,35.84,37.50,181,190,211,221
Men Blue Relaxed Fit Solid Denim Cargo Shorts,8438887088344,"4,830","1,711",11.00,"1,722","5,595",3.25,2.81,487,33,6,6.78,18.18,1.23,"19,740",441,2.23,3.88,951,2,0.21,5.50,0,0,,,,,,,,,,,"1,384",30.77,24.73,7,4.04,3.49,35.65,28.65,246,198,287,231
Men Checkered Shirt,8134360039640,"6,024","2,119",26.78,"2,146","7,058",3.29,2.81,897,51,10,5.69,19.61,1.11,"28,501",694,2.44,3.05,"6,779",11,0.16,2.43,0,0,,,,,,,,,,,"2,376",30.41,33.67,12,2.97,2.53,35.63,39.45,179,198,215,238
Men Striped Shirt,8134402703576,"2,906","1,028",3.29,"1,031","2,868",2.78,2.82,401,36,4,8.98,11.11,1.00,"10,048",377,3.75,2.73,159,0,,,0,0,,,,,,,,,,,"1,041",35.94,36.30,5,2.75,2.79,35.48,35.83,206,208,258,260
Men Casual Striped Shirt,8149882798296,"9,097","3,049",170.75,"3,220","10,946",3.40,2.83,"1,567",139,18,8.87,12.95,1.15,"45,618","1,016",2.23,3.00,"39,597",58,0.15,2.94,1,701,4.11,,,,,,,,,,"4,017",29.42,36.70,22,2.72,2.26,35.40,44.16,146,183,179,223
Men Checked Shirt,8140550602968,"6,638","2,272",53.77,"2,326","7,180",3.09,2.85,965,78,9,8.08,11.54,0.93,"24,081",866,3.60,2.62,"4,561",12,0.26,4.48,0,0,,,,,,,,,,,"2,481",32.40,34.56,11,2.89,2.68,35.04,37.38,211,226,258,276
Men Checked Shirt,8136716746968,"18,630","6,100",374.84,"6,475","18,236",2.82,2.88,"2,000",163,31,8.15,19.02,1.55,"112,219","1,705",1.52,3.58,"49,530",104,0.21,3.60,0,0,,,,,,,,,,,"5,106",35.51,28.00,34,3.57,3.65,34.75,27.41,190,150,209,165
Men Color Block Shirt,8136363245784,"3,664","1,239",34.16,"1,273","3,664",2.88,2.88,355,23,6,6.48,26.09,1.69,"19,495",351,1.80,3.53,"1,960",15,0.77,2.28,0,0,,,,,,,,,,,911,34.74,24.87,7,4.02,4.02,34.74,24.87,182,130,212,152
The Indian Garage Co Men Sea Green Regular Opaque Solid Casual Shirt,8149860974808,"1,312",431,20.90,451,"1,312",2.91,2.91,125,8,2,6.40,25.00,1.60,"3,250",90,2.77,4.78,"5,288",6,0.11,3.48,0,0,,,,,,,,,,,314,34.41,23.95,2,4.18,4.18,34.41,23.95,226,157,226,157
Men Striped Casual Shirt,8136716091608,"13,600","4,534",58.00,"4,592","14,597",3.18,2.96,"1,306",91,22,6.97,24.18,1.68,"76,163","1,058",1.39,4.29,"3,021",19,0.63,3.05,1,701,12.09,,,,,,,,,,"3,196",31.46,21.89,24,4.57,4.26,33.76,23.50,191,133,209,145
Men Checked Shirt,8134448283864,"21,797","7,188",107.51,"7,295","22,803",3.13,2.99,"2,303",163,34,7.08,20.86,1.48,"140,046","2,747",1.96,2.62,"39,153",64,0.16,1.68,1,777,7.23,,,,,,,,,,"5,813",31.99,25.49,38,3.92,3.75,33.47,26.67,192,153,215,171
Men Solid Shirt,8134359154904,"2,857",781,161.41,943,"4,484",4.76,3.03,527,24,5,4.55,20.83,0.95,"8,137",330,4.06,2.37,"31,154",66,0.21,2.45,1,515,3.19,,,,,,,,,,"1,366",21.02,30.48,8,3.28,2.09,32.99,47.84,118,171,189,273
Men Striped Casual Shirt,8137693266136,"3,043",988,2.09,990,"4,074",4.12,3.07,343,28,5,8.16,17.86,1.46,"13,642",324,2.38,3.05,103,0,,,0,0,,,,,,,,,,,863,24.30,21.18,7,4.72,3.53,32.53,28.36,141,123,198,173
Men Solid Shirt,8134451069144,"2,857",861,63.44,925,"3,391",3.67,3.09,492,37,5,7.52,13.51,1.02,"11,244",357,3.18,2.41,"4,728",12,0.25,5.29,0,0,,,,,,,,,,,"1,241",27.27,36.61,6,2.73,2.30,32.37,43.45,154,207,185,248
Men Printed Oversized T-shirt,8255132401880,922,297,,297,899,3.02,3.10,121,6,2,4.96,33.33,1.65,"3,598",73,2.03,4.08,0,0,,,0,0,,,,,,,,,,,312,33.09,34.66,2,2.88,2.96,32.27,33.80,149,156,149,156
Men Checked Shirt,8134447628504,"81,848","25,717",491.41,"26,209","83,025",3.17,3.12,"7,267",739,132,10.17,17.86,1.82,"848,667","6,021",0.71,4.27,"144,871",266,0.18,1.85,0,227,0.46,,,,,,,,,,"18,614",31.57,22.42,143,4.46,4.40,32.02,22.74,183,130,199,141
Men Denim Kurta,8134421971160,"25,213","7,801",171.65,"7,973","25,849",3.24,3.16,"1,909",205,41,10.74,20.00,2.15,"143,798","1,823",1.27,4.28,"27,900",69,0.25,2.49,1,701,4.08,,,,,,,,,,"4,905",30.84,18.97,44,5.27,5.14,31.62,19.45,181,111,194,120
Men Printed Casual Shirt,8136715174104,"12,069","3,702",110.65,"3,812","7,789",2.04,3.17,"1,675",68,15,4.06,22.06,0.90,"127,418","1,650",1.29,2.24,"8,364",20,0.24,5.53,2,"1,828",16.52,,,,,,,,,,"4,291",48.94,55.09,15,1.82,2.81,31.59,35.55,254,286,254,286
Men Shorts,8134371803352,"11,360","3,503",47.93,"3,551","10,684",3.01,3.20,"1,286",127,19,9.88,14.96,1.48,"48,506","1,083",2.23,3.23,"6,010",17,0.28,2.82,0,0,,,,,,,,,,,"3,295",33.23,30.84,22,3.24,3.45,31.26,29.01,161,150,187,173
Men Solid Slim Fit Chino,8332721225944,"39,117","11,794",362.30,"12,156","41,525",3.42,3.22,"3,767",677,44,17.97,6.50,1.17,"168,445","3,337",1.98,3.53,"87,377",141,0.16,2.57,2,"1,296",3.58,,,,,,,,,,"9,538",29.27,22.97,50,4.35,4.10,31.08,24.38,243,191,276,217
Men Jogger Pant,8134385107160,"1,801",555,1.71,557,"1,773",3.18,3.23,240,21,3,8.75,14.29,1.25,"5,435",187,3.44,2.97,140,1,0.71,1.71,0,0,,,,,,,,,,,626,31.42,35.30,3,2.83,2.88,30.93,34.75,186,209,186,209
Men Nautical Shirt,8140527403224,"7,949","2,396",61.34,"2,458","7,918",3.22,3.23,"1,033",67,13,6.49,19.40,1.26,"28,720",905,3.15,2.65,"7,746",17,0.22,3.61,0,0,,,,,,,,,,,"2,672",31.04,33.74,14,2.96,2.98,30.92,33.61,176,191,189,206
Men Checkered Shirt,8134419480792,"7,949","2,450",5.00,"2,455","7,300",2.97,3.24,"1,048",66,13,6.30,19.70,1.24,"53,680",981,1.83,2.50,902,2,0.22,2.50,0,0,,,,,,,,,,,"2,593",33.63,35.52,13,2.81,3.07,30.88,32.62,189,199,189,199
Men Jogger,8137690317016,"3,235",997,,997,"3,235",3.24,3.24,342,21,5,6.14,23.81,1.46,"13,967",324,2.32,3.08,121,0,,,0,0,,,,,,,,,,,879,30.82,27.17,5,3.68,3.68,30.82,27.17,199,176,199,176
Men Chinos,8136363147480,"9,032","2,680",103.01,"2,783","8,172",2.94,3.25,970,91,14,9.38,15.38,1.44,"23,253",738,3.17,3.63,"17,408",32,0.18,3.22,0,0,,,,,,,,,,,"2,464",34.05,30.15,15,3.32,3.67,30.81,27.28,186,164,199,176
Men Checks Shirt,8134450086104,"5,962","1,822",9.74,"1,831","5,906",3.22,3.26,923,43,10,4.66,23.26,1.08,"24,893",581,2.33,3.14,564,2,0.35,4.87,0,0,,,,,,,,,,,"2,322",31.01,39.32,10,2.54,2.57,30.72,38.95,183,232,183,232
Men Embroidery Shirt,8137692807384,"5,216","1,375",225.76,"1,601","6,278",3.92,3.26,815,52,9,6.38,17.31,1.10,"10,891",540,4.96,2.55,"46,330",130,0.28,1.74,2,"1,822",8.07,,,,,,,,,,"2,124",25.50,33.83,11,2.96,2.46,30.69,40.72,146,193,178,236
Men Printed Casual Shirt,8136715206872,"6,854","2,023",24.01,"2,047","7,357",3.59,3.35,"1,182",46,10,3.89,21.74,0.85,"29,132",831,2.85,2.43,"3,874",7,0.18,3.43,0,0,,,,,,,,,,,"3,009",27.82,40.90,11,2.44,2.28,29.86,43.90,186,274,205,301
Men Relaxed Fit Jeans,8214347153624,"1,820",309,234.83,543,"1,772",3.26,3.35,353,15,2,4.25,13.33,0.57,"3,060",133,4.35,2.32,"13,278",77,0.58,3.05,0,0,,,,,,,,,,,913,30.66,51.51,2,1.94,1.99,29.86,50.16,272,456,272,456
Men Striped Casual Shirt,8136716976344,"57,629","16,870",225.97,"17,096","68,492",4.01,3.37,"5,276",611,93,11.58,15.22,1.76,"377,695","4,750",1.26,3.55,"40,363",73,0.18,3.10,4,"3,212",14.21,,,,,,,,,,"13,503",24.96,19.71,119,5.07,4.27,29.66,23.43,144,113,184,145
Men Partywear Shirt,8140516294872,"1,373",388,14.64,402,"2,831",7.04,3.41,218,20,2,9.17,10.00,0.92,"5,382",200,3.72,1.94,271,2,0.74,7.32,0,0,,,,,,,,,,,558,14.21,19.70,4,5.08,2.46,29.30,40.59,101,139,201,279
Men Casual Cuffed Cargo Pant,8136710914264,"7,078","2,036",3.63,"2,040","9,026",4.42,3.47,674,56,10,8.31,17.86,1.48,"14,038",414,2.95,4.92,487,1,0.21,3.63,0,0,,,,,,,,,,,"1,737",22.60,19.24,13,5.20,4.08,28.82,24.54,157,134,204,174
Men Jeans Denim,8134383010008,"20,661","5,242",587.16,"5,829","19,685",3.38,3.54,"2,254",339,30,15.04,8.85,1.33,"77,620","1,415",1.82,3.70,"25,493",286,1.12,2.05,4,"3,502",5.96,,,,,,,,,,"5,634",29.61,28.62,32,3.49,3.67,28.21,27.27,182,176,194,188
Men Jogger,8137690939608,"1,348",372,8.00,380,"1,348",3.55,3.55,235,9,2,3.83,22.22,0.85,"4,274",147,3.44,2.53,181,1,0.55,8.00,0,0,,,,,,,,,,,603,28.16,44.77,2,2.23,2.23,28.16,44.77,190,302,190,302
Men Checked Shirt,8140558401752,"11,292","3,150",28.29,"3,178","13,318",4.19,3.55,"1,117",70,15,6.27,21.43,1.34,"63,634","1,025",1.61,3.07,"2,751",6,0.22,4.71,0,0,,,,,,,,,,,"2,788",23.86,20.93,18,4.78,4.05,28.14,24.69,177,155,212,186
Men Checked Shirt,8140557189336,"1,180",328,2.05,330,"1,770",5.36,3.57,137,10,2,7.30,20.00,1.46,"4,050",99,2.44,3.31,"1,338",6,0.45,0.34,0,0,,,,,,,,,,,352,18.66,19.88,3,5.03,3.35,27.99,29.81,110,117,165,176
Men Jogger,8134466502872,751,206,4.33,210,713,3.40,3.58,96,2,1,2.08,50.00,1.04,"2,024",81,4.00,2.54,"1,016",1,0.10,4.33,0,0,,,,,,,,,,,242,29.44,34.00,1,2.94,3.10,27.97,32.30,210,242,210,242
Men Checkered Shirt,8134359875800,"1,118",275,36.60,312,"1,118",3.59,3.59,218,16,2,7.34,12.50,0.92,"3,902",137,3.51,2.01,"6,129",14,0.23,2.61,0,0,,,,,,,,,,,559,27.88,50.02,2,2.00,2.00,27.88,50.02,156,280,156,280
Men Striped Casual Shirt,8140556271832,"9,563","2,467",168.10,"2,635","11,634",4.41,3.63,"1,161",85,16,7.32,18.82,1.38,"28,604",826,2.89,2.99,"18,890",72,0.38,2.33,2,"1,930",11.48,,,,,,,,,,"2,961",22.65,25.45,21,3.93,3.23,27.56,30.96,125,141,165,185
Men Printed Oversized T-shirt,8255132106968,497,136,,136,497,3.65,3.65,120,7,1,5.83,14.29,0.83,"2,662",42,1.58,3.24,0,0,,,0,0,,,,,,,,,,,305,27.36,61.33,1,1.63,1.63,27.36,61.33,136,305,136,305
Mens Striped Slim Fit Shirt,8134452183256,"115,011","30,868",369.44,"31,238","119,853",3.84,3.68,"9,012","1,095",203,12.15,18.54,2.25,"1,045,621","7,908",0.76,3.90,"93,134",165,0.18,2.24,2,"1,330",3.60,,,,,,,,,,"23,049",26.06,19.23,228,5.20,4.99,27.16,20.04,137,101,154,114
Mens Checked Regular Fit Shirt,8134364791000,"14,268","3,651",212.49,"3,864","14,844",3.84,3.69,"1,696",138,19,8.14,13.77,1.12,"99,132","2,708",2.73,1.35,"35,601",90,0.25,2.36,1,772,3.63,,,,,,,,,,"4,321",26.03,29.11,21,3.44,3.30,27.08,30.28,184,206,203,227
Men Casual Trouser,8134409748696,"8,851","2,395",1.00,"2,396","9,393",3.92,3.69,814,40,12,4.91,30.00,1.47,"25,802",622,2.41,3.85,64,1,1.56,1.00,0,0,,,,,,,,,,,"2,081",25.50,22.15,13,4.51,4.25,27.07,23.51,184,160,200,173
Men Checks Shirt,8134453002456,"30,118","7,952",127.69,"8,079","31,014",3.84,3.73,"3,474",286,51,8.23,17.83,1.47,"109,905","2,345",2.13,3.39,"27,244",47,0.17,2.72,0,182,1.43,,,,,,,,,,"8,884",26.05,28.64,55,3.49,3.39,26.82,29.50,147,162,158,174
Men Checked Shirt,8134421315800,"1,180",268,43.13,312,"1,155",3.71,3.79,241,14,2,5.81,14.29,0.83,"2,327",73,3.14,3.68,"2,150",11,0.51,3.92,1,"1,198",27.78,,,,,,,,,,618,26.97,53.46,2,1.87,1.91,26.40,52.34,156,309,156,309
