ProductName,ProductSku,PurchaseValue,SpendsCatalogAds,SpendsPMaxAds,TotalCatalogSpendsFBGoogle,TotalRevenue,BlendedROASCatalogAds,GABlendedROASCatalogSpends,ProductPageViews,AddToCarts,Purchases,AddToCartRate,TransactionRate,ConversionRate,FbImpressions,FbClicks,FbCTR,FbCPC,GoogleImpressions,GoogleClicks,GoogleCTR,GoogleCPC,PurchasesPmaxAds,PurchasesValuePmaxAds,ROASPmaxAds,TotalProductCount,ActiveProductCount,ActiveVariantCount,InStockProductCount,OutOfStockProductCount,AverageSellingPrice,DiscountedProductCount,InStockVariantCount,OutofstockVariantsCount,TotalSpendEstimated,BlendedCRRCatalogAds,BlendedCRREstSpends,BlendedROASEstSpends,GABlendedROASEstSpends,GABlendedCRRCatalogSpends,GABlendedCRREstSpends,CPSCatalogSpends,CPSEstSpends,GACPSCatalogSpends,GACPSEstSpends
Men Printed Shirt,8140534350040,621,331,7.67,338,590,1.74,1.83,170,8,1,4.71,12.50,0.59,"2,639",149,5.65,2.22,263,2,0.76,3.83,0,0,,,,,,,,,,,433,57.38,73.47,1,1.36,1.43,54.51,69.80,338,433,338,433
Men Cargo Trouser,8149897085144,910,128,365.32,494,"2,689",5.45,1.84,259,5,1,1.93,20.00,0.39,929,27,2.91,4.76,"11,841",109,0.92,3.35,1,"1,032",2.82,,,,,,,,,,658,18.36,24.47,3,4.09,1.38,54.26,72.32,165,219,494,658
Men Abstract Shorts,8134373736664,"1,136",613,,613,"1,136",1.85,1.85,178,10,2,5.62,20.00,1.12,"11,299",156,1.38,3.93,0,0,,,0,0,,,,,,,,,,,422,53.94,37.18,2,2.69,2.69,53.94,37.18,306,211,306,211
Men Short Kurta Block,8134412370136,"11,026","5,917",28.57,"5,946","12,259",2.06,1.85,"1,589",77,15,4.85,19.48,0.94,"83,698","1,455",1.74,4.07,"1,683",7,0.42,4.08,1,639,22.37,,,,,,,,,,"3,887",48.50,31.71,17,3.15,2.84,53.92,35.25,350,229,396,259
Men Checked Shirt,8149777744088,"21,983","11,463",101.14,"11,564","23,390",2.02,1.90,"3,125",168,36,5.38,21.43,1.15,"169,515","2,779",1.64,4.12,"15,680",35,0.22,2.89,1,701,6.93,,,,,,,,,,"8,040",49.44,34.37,45,2.91,2.73,52.60,36.57,257,179,321,223
Men Checked Casual Shirt,8134455296216,"7,204","3,778",,"3,778","7,794",2.06,1.91,"1,436",79,12,5.50,15.19,0.84,"51,389","1,385",2.70,2.73,0,0,,,0,0,,,,,,,,,,,"3,676",48.48,47.16,13,2.12,1.96,52.45,51.02,291,283,315,306
Men Printed Shirt,8137693823192,"1,863",965,2.00,967,"1,832",1.90,1.93,242,9,3,3.72,33.33,1.24,"17,225",201,1.17,4.80,122,1,0.82,2.00,0,0,,,,,,,,,,,595,52.76,32.46,3,3.08,3.13,51.88,31.91,322,198,322,198
Men Linen Jogger Trouser,8134417219800,"23,393","11,727",384.31,"12,111","24,630",2.03,1.93,"3,374",170,32,5.04,18.82,0.95,"156,735","2,735",1.74,4.29,"6,586",137,2.08,2.81,2,"1,583",4.12,,,,,,,,,,"8,640",49.17,35.08,35,2.85,2.71,51.77,36.93,346,247,378,270
Men Printed Shorts,8134451298520,"2,259","1,129",2.21,"1,132","2,215",1.96,2.00,277,13,5,4.69,38.46,1.81,"10,787",213,1.97,5.30,19,0,,,0,0,,,,,,,,,,,715,51.09,32.26,5,3.10,3.16,50.10,31.64,226,143,226,143
Men Printed Shorts,8140535202008,"1,079",530,4.11,534,"1,051",1.97,2.02,251,14,2,5.58,14.29,0.80,"13,418",128,0.95,4.14,676,2,0.30,2.06,0,0,,,,,,,,,,,621,50.86,59.06,2,1.69,1.74,49.52,57.51,267,310,267,310
Men Printed Oversized Fit T-Shirt,8410957152472,"2,223","1,099",,"1,099","3,256",2.96,2.02,415,16,4,3.86,25.00,0.96,"20,275",312,1.54,3.52,0,0,,,0,0,,,,,,,,,,,"1,116",33.76,34.27,6,2.92,1.99,49.44,50.19,183,186,275,279
Men Distress Skinny Fit Jeans,8140547588312,"19,910","9,580",133.04,"9,714","22,118",2.28,2.05,"2,245",142,25,6.33,17.61,1.11,"115,097","2,158",1.87,4.44,"4,490",53,1.18,2.51,1,550,4.14,,,,,,,,,,"5,729",43.92,25.90,29,3.86,3.48,48.79,28.77,335,198,389,229
